Year,Week,UC_name,cases,week_start,own_lag1,own_lag2,own_lag3,own_lag4,own_roll2,own_roll4,own_roll8,own_delta,city_cases,city_lag1,city_lag2,city_roll4,nb_sum1,nb_mean1,nb_max1,nb_sum2,nb_mean2,nb_max2,nb_delta,temp_mean,temp_max,temp_min,humidity,rain,rain_days,pressure,wind,temp_mean_lag2,temp_mean_lag4,temp_mean_lag6,temp_mean_lag8,humidity_lag2,humidity_lag4,humidity_lag6,humidity_lag8,rain_lag2,rain_lag4,rain_lag6,rain_lag8,rain_days_lag2,rain_days_lag4,rain_days_lag6,rain_days_lag8,rain_c8,week_sin,week_cos,target
2023,33,MOHANPURA,0,2023-08-14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,18,10.0,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,33.04285714285714,24.342857142857145,78.28571428571429,25.5,3,1003.6428571428572,5.242857142857143,28.942857142857143,28.185714285714287,27.685714285714287,34.05714285714286,76.71428571428571,80.0,73.57142857142857,50.57142857142857,49.7,72.6,56.0,16.3,6.0,6.0,4.0,1.0,348.0,-0.7485107481711011,-0.6631226582407952,0.0
2023,34,MOHANPURA,0,2023-08-21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,27,18.0,17.25,3.0,0.75,2.0,0.0,0.0,0.0,0.75,28.17142857142857,33.028571428571425,24.24285714285714,75.85714285714286,55.3,4,1000.1,6.828571428571428,28.814285714285713,27.614285714285717,28.842857142857145,29.071428571428573,76.42857142857143,79.42857142857143,70.57142857142857,66.57142857142857,39.8,49.4,20.1,44.1,5.0,5.0,3.0,4.0,357.2,-0.8229838658936564,-0.5680647467311559,0.0
2023,35,MOHANPURA,0,2023-08-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,52,27.0,26.75,3.0,0.75,2.0,3.0,0.75,2.0,0.0,27.985714285714288,33.34285714285714,23.414285714285715,70.14285714285714,3.0,1,1003.9714285714286,6.185714285714285,28.4,28.942857142857143,28.185714285714287,27.685714285714287,78.28571428571429,76.71428571428571,80.0,73.57142857142857,25.5,49.7,72.6,56.0,3.0,6.0,6.0,4.0,368.4,-0.8854560256532096,-0.4647231720437691,0.0
2023,36,MOHANPURA,0,2023-09-04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,89,52.0,46.5,11.0,2.75,11.0,3.0,0.75,2.0,2.0,28.814285714285713,34.65714285714286,24.085714285714285,61.57142857142857,1.7,0,1003.8285714285714,5.8999999999999995,28.17142857142857,28.814285714285713,27.614285714285717,28.842857142857145,75.85714285714286,76.42857142857143,79.42857142857143,70.57142857142857,55.3,39.8,49.4,20.1,4.0,5.0,5.0,3.0,315.4,-0.9350162426854147,-0.3546048870425359,2.0
2023,37,MOHANPURA,2,2023-09-11,2,0.0,0.0,0.0,1.0,0.5,0.25,2.0,138,138,89.0,76.5,12.0,3.0,8.0,11.0,2.75,11.0,0.25,29.228571428571428,34.471428571428575,25.0,72.0,19.7,2,1003.5714285714286,6.457142857142857,27.985714285714288,28.4,28.942857142857143,28.185714285714287,70.14285714285714,78.28571428571429,76.71428571428571,80.0,3.0,25.5,49.7,72.6,1.0,3.0,6.0,6.0,297.0,-0.970941817426052,-0.23931566428755774,0.0
2023,38,MOHANPURA,0,2023-09-18,0,2.0,0.0,0.0,1.0,0.5,0.25,-2.0,168,168,138.0,111.75,14.0,3.5,11.0,12.0,3.0,8.0,0.5,26.25714285714286,31.37142857142857,22.085714285714285,73.85714285714286,20.9,3,1006.6142857142858,5.671428571428572,28.814285714285713,28.17142857142857,28.814285714285713,27.614285714285717,61.57142857142857,75.85714285714286,76.42857142857143,79.42857142857143,1.7,55.3,39.8,49.4,0.0,4.0,5.0,5.0,244.1,-0.992708874098054,-0.12053668025532357,1.0
2023,39,MOHANPURA,1,2023-09-25,1,0.0,2.0,0.0,0.5,0.75,0.375,1.0,194,194,168.0,147.25,26.0,6.5,20.0,14.0,3.5,11.0,3.0,23.52857142857143,30.17142857142857,18.314285714285713,60.57142857142857,2.5,1,1008.1,8.614285714285716,29.228571428571428,27.985714285714288,28.4,28.942857142857143,72.0,70.14285714285714,78.28571428571429,76.71428571428571,19.7,3.0,25.5,49.7,2.0,1.0,3.0,6.0,215.60000000000002,-1.0,-1.8369701987210297e-16,0.0
2023,40,MOHANPURA,0,2023-10-02,0,1.0,0.0,2.0,0.5,0.75,0.375,-1.0,233,233,194.0,183.25,32.0,8.0,26.0,26.0,6.5,20.0,1.5,24.428571428571427,32.07142857142857,18.3,50.285714285714285,3.2,1,1007.657142857143,6.8999999999999995,26.25714285714286,28.814285714285713,28.17142857142857,28.814285714285713,73.85714285714286,61.57142857142857,75.85714285714286,76.42857142857143,20.9,1.7,55.3,39.8,3.0,0.0,4.0,5.0,168.4,-0.992708874098054,0.1205366802553232,1.0
2023,41,MOHANPURA,1,2023-10-09,1,0.0,1.0,0.0,0.5,0.5,0.5,1.0,159,159,233.0,188.5,25.0,6.25,18.0,32.0,8.0,26.0,-1.75,22.814285714285713,29.2,17.685714285714287,60.857142857142854,9.8,2,1011.842857142857,6.942857142857143,23.52857142857143,29.228571428571428,27.985714285714288,28.4,60.57142857142857,72.0,70.14285714285714,78.28571428571429,2.5,19.7,3.0,25.5,1.0,2.0,1.0,3.0,131.8,-0.9709418174260521,0.23931566428755738,2.0
2023,42,MOHANPURA,2,2023-10-16,2,1.0,0.0,1.0,1.5,1.0,0.75,1.0,124,124,159.0,177.5,20.0,5.0,15.0,25.0,6.25,18.0,-1.25,18.357142857142858,24.1,14.171428571428573,72.0,38.2,3,1016.3428571428572,7.3428571428571425,24.428571428571427,26.25714285714286,28.814285714285713,28.17142857142857,50.285714285714285,73.85714285714286,61.57142857142857,75.85714285714286,3.2,20.9,1.7,55.3,1.0,3.0,0.0,4.0,116.10000000000002,-0.9350162426854148,0.35460488704253557,2.0
2023,43,MOHANPURA,2,2023-10-23,2,2.0,1.0,0.0,2.0,1.25,1.0,0.0,103,103,124.0,154.75,12.0,3.0,12.0,20.0,5.0,15.0,-2.0,19.928571428571427,27.185714285714287,13.87142857142857,59.42857142857143,0.0,0,1015.0,6.485714285714286,22.814285714285713,23.52857142857143,29.228571428571428,27.985714285714288,60.857142857142854,60.57142857142857,72.0,70.14285714285714,9.8,2.5,19.7,3.0,2.0,1.0,2.0,1.0,99.00000000000001,-0.8854560256532101,0.464723172043768,0.0
2023,44,MOHANPURA,0,2023-10-30,0,2.0,2.0,1.0,1.0,1.25,1.0,-2.0,91,91,103.0,119.25,10.0,2.5,8.0,12.0,3.0,12.0,-0.5,19.67142857142857,26.785714285714285,14.514285714285714,65.28571428571429,1.3,1,1015.4142857142856,6.528571428571428,18.357142857142858,24.428571428571427,26.25714285714286,28.814285714285713,72.0,50.285714285714285,73.85714285714286,61.57142857142857,38.2,3.2,20.9,1.7,3.0,1.0,3.0,0.0,96.00000000000001,-0.822983865893657,0.5680647467311548,0.0
