UC_name,neighbour
KHURRAM COLONY,Gulistan Colony
KHURRAM COLONY,Jhanda Chichi
KHURRAM COLONY,MUSLIM TOWN (WEST)
CHAH SULTAN,AMARPURA
CHAH SULTAN,DHOK HUKAM DAD
CHAH SULTAN,Dhoke Chiragh Din
CHAH SULTAN,Jhanda Chichi
CHAH SULTAN,KARTARPURA
CHAH SULTAN,RAWALPINDI CANTT-8
CHAH SULTAN,Waris Khan
DHOK HUKAM DAD,AMARPURA
DHOK HUKAM DAD,CHAH SULTAN
DHOK HUKAM DAD,DHOK KASHMIRIAN
DHOK HUKAM DAD,Dhoke Chiragh Din
DHOK HUKAM DAD,Gawal Mandi
DHOK HUKAM DAD,PINDORA
DHOK HUKAM DAD,Waris Khan
AMARPURA,CHAH SULTAN
AMARPURA,DHOK HUKAM DAD
AMARPURA,Waris Khan
KARTARPURA,BANNI
KARTARPURA,CHAH SULTAN
KARTARPURA,Gulistan Colony
KARTARPURA,Jhanda Chichi
KARTARPURA,KOTHA KALAN
KARTARPURA,MUSLIM TOWN (WEST)
KARTARPURA,RAWALPINDI CANTT-8
BANNI,DHOK MUNSHI KHAN
BANNI,KARTARPURA
BANNI,KOTHA KALAN
BANNI,Khurram Colony
BANNI,RAWALPINDI CANTT-8
MUHALLA AMAMBARA,DHOK ALI AKBAR
MUHALLA AMAMBARA,Khurram Colony
MUHALLA AMAMBARA,RAWALPINDI CANTT-8
MUHALLA AMAMBARA,RAWALPINDI CANTT-9
MOHANPURA,DHOK DALAL
MOHANPURA,Dhoke Mangtal
MOHANPURA,GANJ MANDI
MOHANPURA,RAWALPINDI CANTT-9
DHOK DALAL,DHOK ALI AKBAR
DHOK DALAL,Dhoke Mangtal
DHOK DALAL,GANJ MANDI
DHOK DALAL,MOHANPURA
GANJ MANDI,DHOK ALI AKBAR
GANJ MANDI,DHOK DALAL
GANJ MANDI,Dhoke Mangtal
GANJ MANDI,MOHANPURA
GANJ MANDI,RAWALPINDI CANTT-9
PURANA QILLA,DHOK ALI AKBAR
PURANA QILLA,DHOK FARMAN ALI
PURANA QILLA,DHOK KALA KHAN
PURANA QILLA,SHAH CHAN CHARAGH
SHAH CHAN CHARAGH,DHOK ALI AKBAR
SHAH CHAN CHARAGH,DHOK KALA KHAN
SHAH CHAN CHARAGH,PURANA QILLA
MILLAT COLONY,CHAMAN ZAR COLONY
MILLAT COLONY,CITY-46
MILLAT COLONY,DHOK KHABBA
MILLAT COLONY,DHOK MUNSHI KHAN
MILLAT COLONY,GANGAL
MILLAT COLONY,Khurram Colony
DHOK KHABBA,DHOK FARMAN ALI
DHOK KHABBA,Khurram Colony
DHOK KHABBA,MILLAT COLONY
DHOK FARMAN ALI,DHOK ALI AKBAR
DHOK FARMAN ALI,DHOK KHABBA
DHOK FARMAN ALI,Khurram Colony
