Year,Week,UC_name,cases,week_start
2021,4,AMARPURA,0,2021-01-25
2021,5,AMARPURA,0,2021-02-01
2021,6,AMARPURA,0,2021-02-08
2021,7,AMARPURA,0,2021-02-15
2021,8,AMARPURA,0,2021-02-22
2021,9,AMARPURA,0,2021-03-01
2021,10,AMARPURA,0,2021-03-08
2021,11,AMARPURA,0,2021-03-15
2021,12,AMARPURA,0,2021-03-22
2021,13,AMARPURA,0,2021-03-29
2021,14,AMARPURA,0,2021-04-05
2021,15,AMARPURA,0,2021-04-12
2021,16,AMARPURA,0,2021-04-19
2021,17,AMARPURA,0,2021-04-26
2021,18,AMARPURA,0,2021-05-03
2021,19,AMARPURA,0,2021-05-10
2021,20,AMARPURA,0,2021-05-17
2021,21,AMARPURA,0,2021-05-24
2021,22,AMARPURA,0,2021-05-31
2021,23,AMARPURA,0,2021-06-07
2021,24,AMARPURA,0,2021-06-14
2021,25,AMARPURA,0,2021-06-21
2021,26,AMARPURA,0,2021-06-28
2021,27,AMARPURA,0,2021-07-05
2021,28,AMARPURA,0,2021-07-12
2021,29,AMARPURA,0,2021-07-19
2021,30,AMARPURA,0,2021-07-26
2021,31,AMARPURA,0,2021-08-02
2021,32,AMARPURA,0,2021-08-09
2021,33,AMARPURA,0,2021-08-16
2021,34,AMARPURA,0,2021-08-23
2021,35,AMARPURA,0,2021-08-30
2021,36,AMARPURA,0,2021-09-06
2021,37,AMARPURA,0,2021-09-13
2021,38,AMARPURA,0,2021-09-20
2021,39,AMARPURA,1,2021-09-27
2021,40,AMARPURA,0,2021-10-04
2021,41,AMARPURA,2,2021-10-11
2021,42,AMARPURA,3,2021-10-18
2021,43,AMARPURA,3,2021-10-25
2021,44,AMARPURA,1,2021-11-01
2021,45,AMARPURA,2,2021-11-08
2021,46,AMARPURA,1,2021-11-15
2021,47,AMARPURA,0,2021-11-22
2021,48,AMARPURA,0,2021-11-29
2021,49,AMARPURA,0,2021-12-06
2021,50,AMARPURA,0,2021-12-13
2021,51,AMARPURA,0,2021-12-20
2021,52,AMARPURA,0,2021-12-27
2022,1,AMARPURA,0,2022-01-03
2022,2,AMARPURA,0,2022-01-10
2022,3,AMARPURA,0,2022-01-17
2022,4,AMARPURA,0,2022-01-24
2022,5,AMARPURA,0,2022-01-31
2022,6,AMARPURA,0,2022-02-07
2022,7,AMARPURA,0,2022-02-14
2022,8,AMARPURA,0,2022-02-21
2022,9,AMARPURA,0,2022-02-28
2022,10,AMARPURA,0,2022-03-07
2022,11,AMARPURA,0,2022-03-14
2022,12,AMARPURA,0,2022-03-21
2022,13,AMARPURA,0,2022-03-28
2022,14,AMARPURA,0,2022-04-04
2022,15,AMARPURA,0,2022-04-11
2022,16,AMARPURA,0,2022-04-18
2022,17,AMARPURA,0,2022-04-25
2022,18,AMARPURA,0,2022-05-02
2022,19,AMARPURA,0,2022-05-09
2022,20,AMARPURA,0,2022-05-16
2022,21,AMARPURA,0,2022-05-23
2022,22,AMARPURA,0,2022-05-30
2022,23,AMARPURA,0,2022-06-06
2022,24,AMARPURA,0,2022-06-13
2022,25,AMARPURA,0,2022-06-20
2022,26,AMARPURA,0,2022-06-27
2022,27,AMARPURA,0,2022-07-04
2022,28,AMARPURA,0,2022-07-11
2022,29,AMARPURA,0,2022-07-18
2022,30,AMARPURA,0,2022-07-25
2022,31,AMARPURA,0,2022-08-01
2022,32,AMARPURA,0,2022-08-08
2022,33,AMARPURA,0,2022-08-15
2022,34,AMARPURA,0,2022-08-22
2022,35,AMARPURA,0,2022-08-29
2022,36,AMARPURA,0,2022-09-05
2022,37,AMARPURA,1,2022-09-12
2022,38,AMARPURA,1,2022-09-19
2022,39,AMARPURA,2,2022-09-26
2022,40,AMARPURA,8,2022-10-03
2022,41,AMARPURA,7,2022-10-10
2022,42,AMARPURA,6,2022-10-17
2022,43,AMARPURA,2,2022-10-24
2022,44,AMARPURA,4,2022-10-31
2022,45,AMARPURA,1,2022-11-07
2022,46,AMARPURA,2,2022-11-14
2022,47,AMARPURA,0,2022-11-21
2022,48,AMARPURA,1,2022-11-28
2022,49,AMARPURA,0,2022-12-05
2022,50,AMARPURA,0,2022-12-12
2022,51,AMARPURA,0,2022-12-19
2022,52,AMARPURA,0,2022-12-26
2023,1,AMARPURA,0,2023-01-02
2023,2,AMARPURA,0,2023-01-09
2023,3,AMARPURA,0,2023-01-16
2023,4,AMARPURA,0,2023-01-23
2023,5,AMARPURA,0,2023-01-30
2023,6,AMARPURA,0,2023-02-06
2023,7,AMARPURA,0,2023-02-13
2023,8,AMARPURA,0,2023-02-20
2023,9,AMARPURA,0,2023-02-27
2023,10,AMARPURA,0,2023-03-06
2023,11,AMARPURA,0,2023-03-13
2023,12,AMARPURA,0,2023-03-20
2023,13,AMARPURA,0,2023-03-27
2023,14,AMARPURA,0,2023-04-03
2023,15,AMARPURA,0,2023-04-10
2023,16,AMARPURA,0,2023-04-17
2023,17,AMARPURA,0,2023-04-24
2023,18,AMARPURA,0,2023-05-01
2023,19,AMARPURA,0,2023-05-08
2023,20,AMARPURA,0,2023-05-15
2023,21,AMARPURA,0,2023-05-22
2023,22,AMARPURA,0,2023-05-29
2023,23,AMARPURA,0,2023-06-05
2023,24,AMARPURA,0,2023-06-12
2023,25,AMARPURA,0,2023-06-19
2023,26,AMARPURA,0,2023-06-26
2023,27,AMARPURA,0,2023-07-03
2023,28,AMARPURA,0,2023-07-10
2023,29,AMARPURA,1,2023-07-17
2023,30,AMARPURA,3,2023-07-24
2023,31,AMARPURA,0,2023-07-31
2023,32,AMARPURA,2,2023-08-07
2023,33,AMARPURA,1,2023-08-14
2023,34,AMARPURA,1,2023-08-21
2023,35,AMARPURA,4,2023-08-28
2023,36,AMARPURA,1,2023-09-04
2023,37,AMARPURA,0,2023-09-11
2023,38,AMARPURA,3,2023-09-18
2023,39,AMARPURA,2,2023-09-25
2023,40,AMARPURA,2,2023-10-02
2023,41,AMARPURA,1,2023-10-09
2023,42,AMARPURA,0,2023-10-16
2023,43,AMARPURA,2,2023-10-23
2023,44,AMARPURA,1,2023-10-30
2023,45,AMARPURA,1,2023-11-06
2023,46,AMARPURA,0,2023-11-13
2023,47,AMARPURA,0,2023-11-20
2023,48,AMARPURA,0,2023-11-27
2023,49,AMARPURA,0,2023-12-04
2023,50,AMARPURA,0,2023-12-11
2023,51,AMARPURA,0,2023-12-18
2023,52,AMARPURA,0,2023-12-25
2024,1,AMARPURA,0,2024-01-01
2024,2,AMARPURA,0,2024-01-08
2024,3,AMARPURA,0,2024-01-15
2024,4,AMARPURA,0,2024-01-22
2024,5,AMARPURA,0,2024-01-29
2024,6,AMARPURA,0,2024-02-05
2024,7,AMARPURA,0,2024-02-12
2024,8,AMARPURA,0,2024-02-19
2024,9,AMARPURA,0,2024-02-26
2024,10,AMARPURA,0,2024-03-04
2024,11,AMARPURA,0,2024-03-11
2024,12,AMARPURA,0,2024-03-18
2024,13,AMARPURA,0,2024-03-25
2024,14,AMARPURA,0,2024-04-01
2024,15,AMARPURA,0,2024-04-08
2024,16,AMARPURA,0,2024-04-15
2024,17,AMARPURA,0,2024-04-22
2024,18,AMARPURA,0,2024-04-29
2024,19,AMARPURA,0,2024-05-06
2024,20,AMARPURA,0,2024-05-13
2024,21,AMARPURA,0,2024-05-20
2024,22,AMARPURA,0,2024-05-27
2024,23,AMARPURA,0,2024-06-03
2024,24,AMARPURA,0,2024-06-10
2024,25,AMARPURA,0,2024-06-17
2024,26,AMARPURA,0,2024-06-24
2024,27,AMARPURA,0,2024-07-01
2024,28,AMARPURA,0,2024-07-08
2024,29,AMARPURA,0,2024-07-15
2024,30,AMARPURA,0,2024-07-22
2024,31,AMARPURA,0,2024-07-29
2024,32,AMARPURA,0,2024-08-05
2024,33,AMARPURA,0,2024-08-12
2024,34,AMARPURA,0,2024-08-19
2024,35,AMARPURA,0,2024-08-26
2024,36,AMARPURA,0,2024-09-02
2024,37,AMARPURA,2,2024-09-09
2024,38,AMARPURA,2,2024-09-16
2024,39,AMARPURA,1,2024-09-23
2024,40,AMARPURA,2,2024-09-30
2024,41,AMARPURA,0,2024-10-07
2024,42,AMARPURA,5,2024-10-14
2024,43,AMARPURA,0,2024-10-21
2024,44,AMARPURA,1,2024-10-28
2024,45,AMARPURA,3,2024-11-04
2024,46,AMARPURA,1,2024-11-11
2024,47,AMARPURA,0,2024-11-18
2024,48,AMARPURA,0,2024-11-25
2024,49,AMARPURA,0,2024-12-02
2024,50,AMARPURA,0,2024-12-09
2024,51,AMARPURA,1,2024-12-16
2024,52,AMARPURA,0,2024-12-23
2021,1,ASGHAR MALL SCHEME,0,2021-01-04
2021,2,ASGHAR MALL SCHEME,0,2021-01-11
2021,3,ASGHAR MALL SCHEME,0,2021-01-18
2021,4,ASGHAR MALL SCHEME,0,2021-01-25
2021,5,ASGHAR MALL SCHEME,0,2021-02-01
2021,6,ASGHAR MALL SCHEME,0,2021-02-08
2021,7,ASGHAR MALL SCHEME,0,2021-02-15
2021,8,ASGHAR MALL SCHEME,0,2021-02-22
2021,9,ASGHAR MALL SCHEME,0,2021-03-01
2021,10,ASGHAR MALL SCHEME,0,2021-03-08
2021,11,ASGHAR MALL SCHEME,0,2021-03-15
2021,12,ASGHAR MALL SCHEME,0,2021-03-22
2021,13,ASGHAR MALL SCHEME,0,2021-03-29
2021,14,ASGHAR MALL SCHEME,0,2021-04-05
2021,15,ASGHAR MALL SCHEME,0,2021-04-12
2021,16,ASGHAR MALL SCHEME,0,2021-04-19
2021,17,ASGHAR MALL SCHEME,0,2021-04-26
2021,18,ASGHAR MALL SCHEME,0,2021-05-03
2021,19,ASGHAR MALL SCHEME,0,2021-05-10
2021,20,ASGHAR MALL SCHEME,0,2021-05-17
2021,21,ASGHAR MALL SCHEME,0,2021-05-24
2021,22,ASGHAR MALL SCHEME,0,2021-05-31
2021,23,ASGHAR MALL SCHEME,0,2021-06-07
2021,24,ASGHAR MALL SCHEME,0,2021-06-14
2021,25,ASGHAR MALL SCHEME,0,2021-06-21
2021,26,ASGHAR MALL SCHEME,0,2021-06-28
2021,27,ASGHAR MALL SCHEME,0,2021-07-05
2021,28,ASGHAR MALL SCHEME,0,2021-07-12
2021,29,ASGHAR MALL SCHEME,0,2021-07-19
2021,30,ASGHAR MALL SCHEME,0,2021-07-26
2021,31,ASGHAR MALL SCHEME,0,2021-08-02
2021,32,ASGHAR MALL SCHEME,0,2021-08-09
2021,33,ASGHAR MALL SCHEME,0,2021-08-16
2021,34,ASGHAR MALL SCHEME,0,2021-08-23
2021,35,ASGHAR MALL SCHEME,0,2021-08-30
2021,36,ASGHAR MALL SCHEME,0,2021-09-06
2021,37,ASGHAR MALL SCHEME,0,2021-09-13
2021,38,ASGHAR MALL SCHEME,0,2021-09-20
2021,39,ASGHAR MALL SCHEME,0,2021-09-27
2021,40,ASGHAR MALL SCHEME,0,2021-10-04
2021,41,ASGHAR MALL SCHEME,0,2021-10-11
2021,42,ASGHAR MALL SCHEME,1,2021-10-18
2021,43,ASGHAR MALL SCHEME,1,2021-10-25
2021,44,ASGHAR MALL SCHEME,2,2021-11-01
2021,45,ASGHAR MALL SCHEME,0,2021-11-08
2021,46,ASGHAR MALL SCHEME,0,2021-11-15
2021,47,ASGHAR MALL SCHEME,0,2021-11-22
2021,48,ASGHAR MALL SCHEME,0,2021-11-29
2021,49,ASGHAR MALL SCHEME,0,2021-12-06
2021,50,ASGHAR MALL SCHEME,1,2021-12-13
2021,51,ASGHAR MALL SCHEME,0,2021-12-20
2021,52,ASGHAR MALL SCHEME,0,2021-12-27
2022,1,ASGHAR MALL SCHEME,0,2022-01-03
2022,2,ASGHAR MALL SCHEME,0,2022-01-10
2022,3,ASGHAR MALL SCHEME,0,2022-01-17
2022,4,ASGHAR MALL SCHEME,0,2022-01-24
2022,5,ASGHAR MALL SCHEME,0,2022-01-31
2022,6,ASGHAR MALL SCHEME,0,2022-02-07
2022,7,ASGHAR MALL SCHEME,0,2022-02-14
2022,8,ASGHAR MALL SCHEME,0,2022-02-21
2022,9,ASGHAR MALL SCHEME,0,2022-02-28
2022,10,ASGHAR MALL SCHEME,0,2022-03-07
2022,11,ASGHAR MALL SCHEME,0,2022-03-14
2022,12,ASGHAR MALL SCHEME,0,2022-03-21
2022,13,ASGHAR MALL SCHEME,0,2022-03-28
2022,14,ASGHAR MALL SCHEME,0,2022-04-04
2022,15,ASGHAR MALL SCHEME,0,2022-04-11
2022,16,ASGHAR MALL SCHEME,0,2022-04-18
2022,17,ASGHAR MALL SCHEME,0,2022-04-25
2022,18,ASGHAR MALL SCHEME,0,2022-05-02
2022,19,ASGHAR MALL SCHEME,0,2022-05-09
2022,20,ASGHAR MALL SCHEME,0,2022-05-16
2022,21,ASGHAR MALL SCHEME,0,2022-05-23
